Ten_San_Pham,Tu_Gia,Den_Gia,Gia_Goc,Thuong_Hieu
Laptop ASUS Vivobook 15X Oled M3504YA-L1268W (Ryzen 5 7530U/RAM 16GB/Onboard/512GB SSD/ Windows 11),14690000,0,18990000,ASUS
Laptop ACER Gaming Aspire 7 A715-76G-5806 (i5-12450H/RAM 16GB/GeForce RTX 3050/512GB SSD/ Windows 11),18990000,0,22990000,ACER
Laptop HP 15s-fq5228TU - 8U240PA (i3-1215U/RAM 8GB/Onboard/512GB SSD/ Windows 11),10790000,0,12990000,HP
Laptop Lenovo IdeaPad Slim 5 14IAH8 - 83BF002NVN (i5-12450H/RAM 16GB/Onboard/512GB SSD/ Windows 11),15990000,0,17490000,LENOVO
Laptop gaming MSI Cyborg 15 A13UC-861VN (i5-13420H/RAM 16GB/GeForce RTX 3050/512GB SSD/ Windows 11),20490000,0,21990000,MSI
Laptop Acer Aspire Lite - AL14-51M-59BN (i5-1235U),13990000,0,14990000,ACER
Laptop gaming Lenovo LOQ 15IAX9 - 83GS004BVN (i5-12450HX/RAM 12GB/GeForce RTX 3050/512GB SSD/ Windows 11),21490000,0,24490000,LENOVO
Laptop Acer Gaming Aspire 7 A715-76G-59MW (i5-12450H) (Đen),15990000,0,21490000,ACER
Laptop Lenovo IdeaPad Slim 3 15IAH8 - 83ER000FVN (i5-12450H/RAM 16GB/Onboard/1TB SSD/ Windows 11),14990000,0,16990000,LENOVO
Laptop ACER Swift 3 SF314-512-56QN (NX.K0FSV.002) (i5-1240P/RAM 16GB/Onboard/512GB SSD/ Windows 11),16990000,0,24790000,ACER
Laptop ASUS Vivobook S 14 OLED S5406MA-PP028W (Ultra 5-125H/RAM 16GB/Onboard/512GB SSD/ Windows 11),23490000,0,25990000,ASUS
Laptop HP 14s 14-em0085AU (835T8PA) (Ryzen 3 7320U/RAM 8GB/Onboard/512GB SSD/ Windows 11),8990000,0,12490000,HP
Laptop HP Pavilion 14-dv2072TU (7C0W1PA) (i7-1255U) (Vàng),17990000,0,23890000,HP
Laptop Acer Aspire 3 A315-59-51X8 (NX.K6TSV.00F) (i5-1235U) (Bạc),12990000,0,15490000,ACER
Laptop gaming Acer Nitro 5 Tiger AN515-58-769J ( i7-12700H/RAM 8GB/RTX 3050/512GB SSD/Windows 11),21490000,0,31790000,ACER
Laptop gaming ASUS TUF Gaming F15 - FX507ZC4-HN095W (i5-12500H/RAM 16GB/GeForce RTX 3050/512GB SSD/ Windows 11),20990000,0,24990000,ASUS
