state,gender,year,name,number
AR,F,2013,Abigail,122
AR,F,2013,Serenity,62
AR,F,2013,Lauren,39
AR,F,2013,Hannah,73
AR,F,2013,Victoria,44
AR,F,2013,Charlotte,37
AR,F,2013,Makayla,37
AZ,F,2013,Brooke,50
AZ,F,2013,Charlotte,184
AZ,F,2013,Grace,138
CA,F,2013,Skylar,228
CA,F,2013,Julieta,68
CA,F,2013,Faye,38
CA,F,2013,Grace,862
CA,F,2013,Alena,46
CA,F,2013,Lyla,224
CA,F,2013,Adalynn,104
CA,F,2013,Kamryn,56
CA,F,2013,Esperanza,64
CA,F,2013,Marissa,135
CA,F,2013,Deborah,46
CA,F,2013,Delilah,649
CA,F,2013,Adela,47
CA,F,2013,Soraya,43
CA,F,2013,Giana,53
CA,F,2013,Carolyn,47
CA,F,2013,Barbara,42
CA,F,2013,Phoebe,134
CA,F,2013,Alexia,382
CA,F,2013,Clara,196
CA,F,2013,Annie,136
CA,F,2013,Chelsea,185
CA,F,2013,Linda,77
CA,F,2013,Alana,198
CA,F,2013,Ivy,294
CA,F,2013,Ellen,43
CA,F,2013,Kathryn,89
CA,F,2013,Susana,40
CA,F,2013,Aileen,169
CA,F,2013,Farrah,38
CA,F,2013,Kyleigh,51
CA,F,2013,Jayla,231
CO,F,2013,Rylee,64
CO,F,2013,Ellie,78
CO,F,2013,Adelaide,38
CT,F,2013,Lillian,60
CT,F,2013,Scarlett,40
DE,F,2013,Emma,51
FL,F,2013,Sienna,84
FL,F,2013,Eliana,145
FL,F,2013,London,232
FL,F,2013,Esther,84
FL,F,2013,Hannah,348
FL,F,2013,Emerson,49
FL,F,2013,Chelsea,48
FL,F,2013,Raegan,48
FL,F,2013,Valentina,344
FL,F,2013,Elisa,41
FL,F,2013,Luna,138
FL,F,2013,Amaya,91
FL,F,2013,Autumn,190
FL,F,2013,Olive,45
FL,F,2013,Jazmine,66
FL,F,2013,Kyleigh,69
FL,F,2013,Kelsey,54
FL,F,2013,Eva,233
GA,F,2013,Reagan,147
GA,F,2013,Madison,507
GA,F,2013,Natalie,194
GA,F,2013,Sophie,100
GA,F,2013,Mariah,120
GA,F,2013,Rachel,61
GA,F,2013,Hannah,212
GA,F,2013,Cassidy,42
IA,F,2013,Norah,44
IA,F,2013,Kennedy,45
IA,F,2013,Molly,37
IA,F,2013,Sadie,41
IL,F,2013,Alexia,79
