Product Name,Sale Price,Image Link,Product Link
Samsung Smart Tivi UA55AU7002,8290000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_30655/smart-tivi-sams_main_503_450.png.webp,"https://dienmaycholon.com/tivi/smart-tivi-samsung-4k-uhd-55-inch-ua55au7002
"
LG Smart Tivi NanoCell 55NANO76SQA,13890000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_30465/smart-nanocell-_main_385_450.png.webp,"https://dienmaycholon.com/tivi/smart-nanocell-tivi-lg-4k-55-inch-55nano76sqa
"
Sony BRAVIA 3 K-55S30,17890000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34471/sony-bravia-3-l_main_119_450.png.webp,"https://dienmaycholon.com/tivi/sony-bravia-3-led-4k-55-inch-k55s30
"
LG Smart Tivi 55UT8050PSB,12890000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34490/smart-tivi-lg-4_main_979_450.png.webp,"https://dienmaycholon.com/tivi/smart-tivi-lg-4k-55-inch-55ut8050psb
"
Casper Android Tivi QLED 4K 55 Inch 55QG8000,6000000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_29844/android-tivi-ql_main_362_450.png.webp,"https://dienmaycholon.com/tivi/android-tivi-qled-4k-casper-55-inch-55qg8000
"
Samsung Smart Tivi QA55Q60D,15890000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34270/smart-tivi-qled_main_803_450.png.webp,"https://dienmaycholon.com/tivi/smart-tivi-qled-samsung-4k-55-inch-qa55q60d
"
Samsung Smart Tivi UA65AU7002,10990000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_30654/smart-tivi-sams_main_371_450.png.webp,"https://dienmaycholon.com/tivi/smart-tivi-samsung-4k-uhd-65-inch-ua65au7002
"
Samsung Smart Tivi QA55Q70D,20490000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34266/smart-tivi-qled_main_360_450.png.webp,"https://dienmaycholon.com/tivi/smart-tivi-qled-samsung-4k-55-inch-qa55q70d
"
LG Smart Tivi 65UT8050PSB,14890000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34491/smart-tivi-lg-4_main_197_450.png.webp,"https://dienmaycholon.com/tivi/smart-tivi-lg-4k-65-inch-65ut8050psb
"
Samsung Smart Tivi QLED 4K 43 Inch QA43Q60B,9990000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_29965/smart-tivi-sams_main_474_450.png.webp,"https://dienmaycholon.com/tivi/smart-tivi-samsung-qled-4k-43-inch-qa43q60b
"
TCL Smart Tivi 32S5400A,4090000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_32857/smart-tivi-tcl-_main_391_450.png.webp,"https://dienmaycholon.com/tivi/smart-tivi-tcl-hd-32-inch-32s5400a
"
LG Smart Tivi NanoCell 65NANO76SQA,15490000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_30460/smart-nanocell-_main_400_450.png.webp,"https://dienmaycholon.com/tivi/smart-nanocell-tivi-lg-4k-65-inch-65nano76sqa
"
TCL Google Tivi 55P638,7990000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_31050/google-tivi-tcl_main_879_450.png.webp,"https://dienmaycholon.com/tivi/google-tivi-tcl-4k-55-inch-55p638
"
Samsung Smart Tivi QLED QA65Q60B,14990000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_29962/smart-tivi-sams_main_127_450.png.webp,"https://dienmaycholon.com/tivi/smart-tivi-samsung-qled-4k-65-inch-qa65q60b
"
LG Smart Tivi 50UQ7050PSA,8990000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34892/smart-tivi-lg-4_main_220_450.png.webp,"https://dienmaycholon.com/tivi/smart-tivi-lg-4k-50-inch-50uq7050psa
"
LG Smart Tivi 55QNED80TSA,18390000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34477/smart-tivi-qned_main_843_450.png.webp,"https://dienmaycholon.com/tivi/smart-tivi-qned-lg-4k-55-inch-55qned80tsa
"
LG Smart Tivi 65QNED80TSA,20890000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34478/smart-tivi-qned_main_738_450.png.webp,"https://dienmaycholon.com/tivi/smart-tivi-qned-lg-4k-65-inch-65qned80tsa
"
Sony Google Tivi XR-55X90L,26490000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_32712/google-tivi-son_main_827_450.png.webp,"https://dienmaycholon.com/tivi/google-tivi-sony-4k-55-inch-xr55x90l
"
Sony Google Tivi XR-65X90L,31890000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_32849/google-tivi-son_main_539_450.png.webp,"https://dienmaycholon.com/tivi/google-tivi-sony-4k-65-inch-xr65x90l
"
Sony Google Tivi XR-75X90L,39890000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_32848/google-tivi-son_main_46_450.png.webp,"https://dienmaycholon.com/tivi/google-tivi-sony-4k-75-inch-xr75x90l
"
Casper Smart Tivi 32 Inch 32HG5200,3490000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_24812/smart-tivi-casp_main_790_450.png.webp,"https://dienmaycholon.com/tivi/smart-tivi-casper-32-inch-32hg5200
"
Coocaa Smart TV 32S3U+,2000000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34611/smart-tv-hd-coo_main_110_450.png.webp,"https://dienmaycholon.com/tivi/smart-tv-hd-coocaa-32-inch-32s3u
"
TCL Smart Tivi 40S5400A,5190000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_32858/smart-tivi-tcl-_main_923_450.png.webp,"https://dienmaycholon.com/tivi/smart-tivi-tcl-full-hd-40-inch-40s5400a
"
Sony Google Tivi 4K 55 Inch KD-55X75K,00000000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_30193/google-tivi-son_main_605_450.png.webp,"https://dienmaycholon.com/tivi/google-tivi-sony-4k-55-inch-kd55x75k
"
Coocaa Smart TV 43S3U+,3000000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34612/smart-tv-full-h_main_392_450.png.webp,"https://dienmaycholon.com/tivi/smart-tv-full-hd-coocaa-43-inch-43s3u
"
