Title,Lifetime Gross,Year
Avatar,2923706026,2009
Avengers: Endgame,2799439100,2019
Avatar: The Way of Water,2320250281,2022
Titanic,2264750694,1997
Star Wars: Episode VII - The Force Awakens,2071310218,2015
Avengers: Infinity War,2052415039,2018
Spider-Man: No Way Home,1928040905,2021
Jurassic World,1671537444,2015
The Lion King,1663079059,2019
Inside Out 2,1649841017,2024
The Avengers,1520538536,2012
Furious 7,1515342457,2015
Top Gun: Maverick,1495696292,2022
Frozen II,1453683476,2019
Barbie,1445638421,2023
Avengers: Age of Ultron,1405018048,2015
Black Panther,1374959729,2018
The Super Mario Bros. Movie,1361992475,2023
Harry Potter and the Deathly Hallows: Part 2,1342480797,2011
Star Wars: Episode VIII - The Last Jedi,1334407706,2017
Jurassic World: Fallen Kingdom,1310469037,2018
Frozen,1306000529,2013
Beauty and the Beast,1266115964,2017
Incredibles 2,1243225667,2018
The Fate of the Furious,1236009236,2017
Iron Man 3,1215577205,2013
Deadpool & Wolverine,1213781524,2024
Minions,1159457503,2015
Captain America: Civil War,1155046416,2016
Aquaman,1152028393,2018
Spider-Man: Far from Home,1138121790,2019
The Lord of the Rings: The Return of the King,1137657848,2003
Captain Marvel,1131416446,2019
Transformers: Dark of the Moon,1123794079,2011
Skyfall,1108594137,2012
Jurassic Park,1104379926,1993
Transformers: Age of Extinction,1104054072,2014
The Dark Knight Rises,1085289416,2012
Joker,1078958629,2019
Star Wars: Episode IX - The Rise of Skywalker,1077022372,2019
Toy Story 4,1073841394,2019
Toy Story 3,1067316101,2010
Pirates of the Caribbean: Dead Man's Chest,1066179747,2006
Rogue One: A Star Wars Story,1058684742,2016
Aladdin,1054304000,2019
Pirates of the Caribbean: On Stranger Tides,1046721266,2011
Star Wars: Episode I - The Phantom Menace,1046515409,1999
Despicable Me 3,1034800131,2017
Finding Dory,1029266989,2016
Zootopia,1025521689,2016
Alice in Wonderland,1025468216,2010
Harry Potter and the Sorcerer's Stone,1024466594,2001
The Hobbit: An Unexpected Journey,1017106749,2012
The Dark Knight,1008524647,2008
Jurassic World Dominion,1001978080,2022
The Lion King,979046652,1994
Oppenheimer,975498223,2023
Despicable Me 2,970766005,2013
The Jungle Book,967724775,2016
Jumanji: Welcome to the Jungle,962544585,2017
The Hobbit: The Battle of the Five Armies,962253946,2014
Pirates of the Caribbean: At World's End,961691209,2007
Harry Potter and the Deathly Hallows: Part 1,960897696,2010
The Hobbit: The Desolation of Smaug,959079095,2013
Doctor Strange in the Multiverse of Madness,955775804,2022
Harry Potter and the Order of the Phoenix,942859770,2007
Finding Nemo,941637960,2003
Harry Potter and the Half-Blood Prince,941055851,2009
Minions: The Rise of Gru,940203765,2022
The Lord of the Rings: The Two Towers,937893849,2002
Shrek 2,932396221,2004
Bohemian Rhapsody,910813521,2018
The Battle at Lake Changjin,902548476,2021
Harry Potter and the Goblet of Fire,897468952,2005
Spider-Man 3,897065420,2007
The Lord of the Rings: The Fellowship of the Ring,887681857,2001
Ice Age: Dawn of the Dinosaurs,886686817,2009
Despicable Me 4,886518265,2024
Spider-Man: Homecoming,886360945,2017
Harry Potter and the Chamber of Secrets,882545232,2002
Spectre,880707597,2015
Ice Age: Continental Drift,877244782,2012
The Secret Life of Pets,875698161,2016
Batman v Superman: Dawn of Justice,874362803,2016
Wolf Warrior 2,870325439,2017
Star Wars: Episode III - Revenge of the Sith,868390560,2005
The Hunger Games: Catching Fire,865011746,2013
Guardians of the Galaxy Vol. 2,863756903,2017
Black Panther: Wakanda Forever,859208836,2022
Inside Out,859076254,2015
Venom,856085161,2018
Thor: Ragnarok,855301806,2017
The Twilight Saga: Breaking Dawn - Part 2,848593948,2012
Guardians of the Galaxy Vol. 3,845555777,2023
Inception,839030630,2010
Transformers: Revenge of the Fallen,836303693,2009
Spider-Man,831218830,2002
Wonder Woman,823970682,2017
"Hi, Mom",822009764,2021
Independence Day,817400891,1996
Fantastic Beasts and Where to Find Them,816037575,2016
Coco,814641172,2017
Shrek the Third,813367380,2007
Harry Potter and the Prisoner of Azkaban,808450729,2004
Jumanji: The Next Level,801693929,2019
E.T. the Extra-Terrestrial,797307407,1982
Pirates of the Caribbean: Dead Men Tell No Tales,795922298,2017
Mission: Impossible - Fallout,791658205,2018
2012,791217826,2009
Spider-Man 2,789960135,2004
Fast & Furious 6,788683342,2013
Indiana Jones and the Kingdom of the Crystal Skull,786636033,2008
Deadpool 2,785896632,2018
Deadpool,782837347,2016
Star Wars: Episode IV - A New Hope,775398507,1977
No Time to Die,774153007,2021
Guardians of the Galaxy,773350376,2014
Gravity,773031617,2013
The Batman,772245583,2022
The Amazing Spider-Man,764124457,2012
Thor: Love and Thunder,760928081,2022
Fast & Furious Presents: Hobbs & Shaw,760732926,2019
The Da Vinci Code,760006945,2006
Maleficent,759853685,2014
The Hunger Games: Mockingjay - Part 1,759159711,2014
Shrek Forever After,752600867,2010
Suicide Squad,749200054,2016
Madagascar 3: Europe's Most Wanted,746921274,2012
X-Men: Days of Future Past,746045700,2014
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115,2005
Monsters University,743559645,2013
The Matrix Reloaded,741847937,2003
Up,735102136,2009
Ne Zha,726264074,2019
F9: The Fast Saga,726229501,2021
The Amazing Spider-Man 2,715176117,2014
Captain America: The Winter Soldier,714421503,2014
The Twilight Saga: Breaking Dawn - Part 1,712205856,2011
Dune: Part Two,711844358,2024
The Twilight Saga: New Moon,711048123,2009
Dawn of the Planet of the Apes,710644566,2014
Transformers,709709780,2007
Interstellar,705191242,2014
Fast X,704875015,2023
It,704242888,2017
The Wandering Earth,699992512,2019
The Twilight Saga: Eclipse,698513085,2010
The Hunger Games,695220619,2012
Mission: Impossible - Ghost Protocol,694713380,2011
Mamma Mia!,694667804,2008
Spider-Man: Across the Spider-Verse,690897910,2023
Detective Chinatown 3,686257563,2021
Mission: Impossible - Rogue Nation,682716636,2015
Forrest Gump,678226465,1994
Doctor Strange,677796833,2016
The Sixth Sense,672806432,1999
Man of Steel,670145518,2013
Ice Age: The Meltdown,667094506,2006
Kung Fu Panda 2,665692281,2011
The Hunger Games: Mockingjay - Part 2,661456867,2015
Justice League,661326987,2017
Big Hero 6,657870525,2014
Fantastic Beasts: The Crimes of Grindelwald,655755901,2018
Pirates of the Caribbean: The Curse of the Black Pearl,654264546,2003
Men in Black³,654213485,2012
Star Wars: Episode II - Attack of the Clones,653780724,2002
Thor: The Dark World,644783140,2013
Moana,643332467,2016
Sing,634338409,2016
Wonka,632302312,2023
Kung Fu Panda,632091832,2008
The Incredibles,631688498,2004
The Martian,630621406,2015
Hancock,629443428,2008
Water Gate Bridge,626571697,2022
Fast Five,626140012,2011
Iron Man 2,623933331,2010
Ratatouille,623728318,2007
Ant-Man and the Wasp,622674139,2018
How to Train Your Dragon 2,621537519,2014
Logan,619180476,2017
The Lost World: Jurassic Park,618638999,1997
Casino Royale,616577552,2006
The Passion of the Christ,612060372,2004
Life of Pi,609016565,2012
Ready Player One,607874422,2018
Transformers: The Last Knight,605425157,2017
Madagascar: Escape 2 Africa,603900354,2008
War of the Worlds,603873504,2005
Tangled,592472813,2010
Quantum of Solace,589593688,2008
Men in Black,589390539,1997
The Croods,587266745,2013
The Hangover Part II,586764305,2011
Iron Man,585796247,2008
I Am Legend,585410052,2007
"Monsters, Inc.",579723768,2001
Operation Red Sea,579330426,2018
Night at the Museum,574482479,2006
Fifty Shades of Grey,569651467,2015
