,ten,Gia goc,Gia giam
0,Google tivi Sony 4K 75 inch K-75S30,39690000.00đ,32390000.00đ
1,Google tivi Sony 4K 65 inch K-65S30,26990000.00đ,21890000.00đ
2,Google tivi Sony 4K 55 inch K-55S30,22490000.00đ,17890000.00đ
3,Google tivi Sony 4K 50 inch K-50S30,18490000.00đ,15890000.00đ
4,Google tivi Sony 4K 43 inch K-43S30,17790000.00đ,13890000.00đ
5,Google tivi Sony 4K 85 inch KD-85X80L,53890000.00đ,39890000.00đ
6,Internet tivi Casper 4K 58 inch 58UX5200,13990000.00đ,6990000.00đ
7,Android tivi Casper QLED 4K 55 inch 55QG8000,11490000.00đ,7990000.00đ
8,Google tivi TCL QLED 4K 98 inch 98C655,70690000.00đ,69990000.00đ
9,Google tivi TCL QLED 4K 85 inch 85C655,40690000.00đ,39990000.00đ
10,Google tivi TCL QLED 4K 75 inch 75C655,26490000.00đ,25990000.00đ
11,Google tivi TCL QLED 4K 65 inch 65C655,18690000.00đ,17990000.00đ
12,Google tivi TCL QLED 4K 55 inch 55C655,14690000.00đ,13990000.00đ
13,Google tivi TCL QLED 4K 50 inch 50C655,11690000.00đ,10990000.00đ
14,Google tivi TCL QLED 4K 43 inch 43C655,10690000.00đ,9990000.00đ
15,Google tivi TCL 4K 75 inch 75P755 Pro,21690000.00đ,20990000.00đ
